,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G PK,G+A PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
0,1,Patrick van Aanholt,NED,DF,Crystal Palace,28,1990,22,22,1892,3,0,1,1,0,0,0,0,0,0.1,0.1,1.8,1,1.8,0.09,0.08,0.17,0.05,0.13,Matches
1,2,Max Aarons,ENG,DF,Norwich City,19,2000,27,27,2430,0,1,0,0,6,0,0,0,0,0,0.04,0.5,0.5,3.5,0.02,0.13,0.15,0.02,0.15,Matches
2,3,Tammy Abraham,ENG,FW,Chelsea,21,1997,25,23,1932,13,3,0,0,2,0,0,0,0,0.61,0.75,12.2,12.2,2.3,0.57,0.11,0.67,0.57,0.67,Matches
3,4,Che Adams,ENG,FW,Southampton,23,1996,22,8,731,0,2,0,0,0,0,0,0,0,0,0.25,1.9,1.9,0.9,0.23,0.11,0.34,0.23,0.34,Matches
4,5,Adrian,ESP,GK,Liverpool,32,1987,11,9,875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,6,Sergio Aguero,ARG,FW,Manchester City,31,1988,22,17,1397,16,3,2,3,1,0,1,0,1,0.9,1.1,13.3,11,2.5,0.85,0.16,1.02,0.71,0.87,Matches
6,7,Albian Ajeti,SUI,MFFW,West Ham,22,1997,8,0,134,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.07,0.04,0.11,0.07,0.11,Matches
7,8,Nathan Ake,NED,DF,Bournemouth,24,1995,23,23,2014,2,1,0,0,1,0,0,0,0,0.09,0.13,2.3,2.3,0.6,0.1,0.03,0.13,0.1,0.13,Matches
8,9,Marc Albrighton,ENG,MF,Leicester City,29,1989,14,3,486,0,3,0,0,1,0,0,0,0,0,0.56,0.3,0.3,1.2,0.06,0.23,0.29,0.06,0.29,Matches
9,10,Toby Alderweireld,BEL,DF,Tottenham,30,1989,27,27,2417,1,2,0,0,4,0,0,0,0,0.04,0.11,0.8,0.8,0.9,0.03,0.03,0.06,0.03,0.06,Matches
10,11,Trent Alexander Arnold,ENG,DF,Liverpool,20,1998,29,28,2549,2,12,0,0,4,0,0,0,0,0.07,0.49,2.2,2.2,8.6,0.08,0.3,0.38,0.08,0.38,Matches
11,12,Alisson,BRA,GK,Liverpool,26,1992,20,20,1733,0,1,0,0,0,1,0,0,0,0,0.05,0,0,0.4,0,0.02,0.02,0,0.02,Matches
12,13,Dele Alli,ENG,MFFW,Tottenham,23,1996,22,20,1758,8,4,1,1,2,0,0,0,0,0.36,0.56,7,6.2,2.2,0.36,0.11,0.47,0.32,0.43,Matches
13,14,Miguel Almiron,PAR,FWMF,Newcastle Utd,25,1994,28,28,2370,2,1,0,0,5,0,0,0,0,0.08,0.11,5.2,5.2,0.8,0.2,0.03,0.23,0.2,0.23,Matches
14,15,Marcos Alonso,ESP,DF,Chelsea,28,1990,11,9,859,4,2,0,0,3,0,0,0,0,0.42,0.63,1.5,1.5,1.4,0.16,0.14,0.3,0.16,0.3,Matches
15,16,Steven Alzate,COL,MFDF,Brighton,20,1998,19,12,1188,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0.7,0.08,0.05,0.14,0.08,0.14,Matches
16,17,Ibrahim Amadou,FRA,DFMF,Norwich City,26,1993,11,8,759,0,0,0,0,1,0,0,0,0,0,0,1,1,0.1,0.12,0.01,0.13,0.12,0.13,Matches
17,18,Felipe Anderson,BRA,MFFW,West Ham,26,1993,22,19,1407,1,4,0,0,1,0,0,0,0,0.06,0.32,2.5,2.5,2.9,0.16,0.18,0.34,0.16,0.34,Matches
18,19,Florin Andone,ROU,MFFW,Brighton,26,1993,3,1,73,1,0,0,0,0,1,1,0,1,1.23,1.23,0.2,0.2,0,0.19,0.05,0.24,0.19,0.24,Matches
19,20,Angelino,ESP,DF,Manchester City,22,1997,6,4,423,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1.2,0.05,0.25,0.3,0.05,0.3,Matches
20,21,Faustino Anjorin,ENG,FW,Chelsea,17,2001,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches
21,22,Michail Antonio,ENG,FWMF,West Ham,29,1990,15,10,1030,2,2,0,0,1,0,0,0,0,0.17,0.35,4.7,4.7,1.8,0.41,0.16,0.57,0.41,0.57,Matches
22,23,Stuart Armstrong,SCO,MF,Southampton,27,1992,21,12,1142,3,0,0,0,3,0,0,0,0,0.24,0.24,2,2,0.8,0.16,0.07,0.22,0.16,0.22,Matches
